,title,description,pubDate,link
10,"Private firms harming NHS patients by failing to deliver medicines, Lords report warns","<p>‘Real and serious problems’ in UK medical homecare sector going unaddressed due to failures in regulation, damning review says</p><p>Private healthcare companies are harming NHS patients in their own homes by failing to deliver vital medicines, and then escaping censure amid an alarming lack of oversight by ministers and regulators, members of the House of Lords have warned.</p><p>More than 500,000 patients and their families rely on private companies paid by the NHS to deliver essential medical supplies, drugs and healthcare to their homes. The homecare medicines services sector is estimated to be worth billions of pounds.</p> <a href=""https://www.theguardian.com/society/2023/nov/16/private-firms-harming-nhs-patients-by-failing-to-deliver-medicines-lords-report-warns"">Continue reading...</a>","Thu, 16 Nov 2023 05:01:05 GMT",https://www.theguardian.com/society/2023/nov/16/private-firms-harming-nhs-patients-by-failing-to-deliver-medicines-lords-report-warns
11,James Cleverly lines up with post-truth brigade on Rwanda shambles | John Crace,"<p>Any uncomfortable facts can simply be airbrushed out of history by an act of parliament, Jimmy Dimly reveals</p><p>This wasn’t how it was meant to be. This wasn’t his best life. It should have been him, <a href=""https://www.theguardian.com/world/2023/nov/16/david-cameron-in-ukraine-on-first-mission-as-uk-foreign-secretary"">not Lord Big Dave</a>, who commandeered the private plane for a surprise visit to Ukraine. It should have been him who got the photo op of a handshake with President Zelenskiy. He was good at all that PR bollocks. Standing around with the great and the good while never really saying anything. The perfect job for a man of little brain.</p><p>Instead he had been shifted to the Home Office bunker. Expected to actually do something while working with the batshit and the flatliners. In all probability a career-ending move. The ultimate crash and burn. To cap it all he hadn’t even yet managed to locate the first-class compartment in the back of his government limo. Where was the fun in that?</p><p><em>John Crace’s book Depraved New World (Guardian Faber, £16.99) is out now. To support the Guardian and Observer, order your copy and save 18% at <a href=""https://www.guardianbookshop.com/depraved-new-world-9781783352739?utm_source=editoriallink&amp;utm_medium=merch&amp;utm_campaign=article"">guardianbookshop.com</a>. Delivery charges may apply</em></p><p><em><strong><a href=""https://membership.theguardian.com/live/a-year-in-westminster-john-crace-and-marina-hyde-live-in-london-and-online-719718255677"">A year in Westminster: John Crace and Marina Hyde live in London and online</a>. </strong>On Monday 11 December, 8pm-9.30pm GMT, join John Crace, Marina Hyde and Pippa Crerar for a livestream discussion on another year of anarchy in British politics. Book tickets <a href=""https://membership.theguardian.com/live/a-year-in-westminster-john-crace-and-marina-hyde-live-in-london-and-online-719718255677"">here</a> or via <a href=""http://theguardian.live/"">theguardian.live</a></em></p> <a href=""https://www.theguardian.com/politics/2023/nov/16/james-cleverly-lines-up-with-post-truth-batshit-brigade-on-rwanda"">Continue reading...</a>","Thu, 16 Nov 2023 14:38:32 GMT",https://www.theguardian.com/politics/2023/nov/16/james-cleverly-lines-up-with-post-truth-batshit-brigade-on-rwanda
12,Britain can put up acres of shoddy new-builds – or homes fit for the future. We do have a choice | Astrid Smitham,"<p>Labour’s plan for 1.5m new homes is a chance to raise the bar for all, but it must be focused on real social and climate needs</p><ul><li>Astrid Smitham is an architect and lecturer</li></ul><p>We are in the midst of a desperate housing emergency, so Keir Starmer is right to make <a href=""https://www.theguardian.com/society/2023/oct/10/labour-wants-to-build-15m-homes-but-how-green-will-they-be"">delivering 1.5m homes</a> central to Labour’s goals. But to truly solve the crisis, building more homes like the ones we are typically putting up now will not do. As long as so many of the basics of new housing are failing, focusing on the style of the wrapper will not help deliver homes suited for the future.</p><p>As an architect, and the recipient of the 2023 Royal Institute of British Architects (RIBA) <a href=""https://www.architecture.com/awards-and-competitions-landing-page/awards/neave-brown-award-for-housing"">Neave Brown award for housing</a>, I spend a lot of time thinking about homes that can improve people’s lives. The right homes can help address not just the housing crisis, but the national crises of climate, loneliness, mental health and social care as well. This can be done without increasing costs, and should be part of Starmer’s promised new <a href=""https://www.bdonline.co.uk/news/starmer-to-present-new-towns-plan-as-part-of-national-renewal-strategy/5125673.article"">design standards</a>. Here’s how.</p><p>Astrid Smitham is an architect and lecturer, and co-founder of the practice Apparata with Nicholas Lobo Brennan. Apparata’s project <a href=""https://www.theguardian.com/artanddesign/2021/dec/09/made-in-dagenham-the-artist-homes-designed-to-slow-gentrification"">A House For Artists</a> is the recipient of the 2023 Neave Brown award for housing, a 2023 Housing Design award and was nominated for the 2023 Stirling prize</p> <a href=""https://www.theguardian.com/commentisfree/2023/nov/16/britain-new-builds-homes-future-labour"">Continue reading...</a>","Thu, 16 Nov 2023 10:00:12 GMT",https://www.theguardian.com/commentisfree/2023/nov/16/britain-new-builds-homes-future-labour
13,Suella Braverman’s letter to Rishi Sunak is a key contribution to a hilarious new Tory genre | Zoe Williams,"<p>Their cod legalese and baffling histrionics have us rolling in the aisles – but what are these wacky no-confidence letters trying to distract us from?</p><p>So Andrea Jenkyns’s <a href=""https://twitter.com/andreajenkyns/status/1724124983843045539"">letter</a> to Graham Brady calling for Rishi Sunak to go was, it turns out, just the warm-up missive of no confidence. “Our democratically elected leader Boris Johnson,” she wrote, “who bravely fought for Brexit when parliament was in deadlock. Yes Boris, the man who won the Conservative Party a massive majority, was unforgivable enough.”</p><p>It seemed like the main event to me: clumsy syntax, pantomime histrionics, Jackanory cadence, ham-fisted recapping for the gerontocracy; could a Conservative sound any dumber? Well, happily, yes. Later in the same letter, Jenkyns warned of Keir Starmer and his imminent “socialist cabal” in Downing Street, and the who-are-these-idiots bingo card was complete.</p><p>Zoe Williams is a Guardian columnist</p><p><em><strong>Do you have an opinion on the issues raised in this article? If you would like to submit a response of up to 300 words by email to be considered for publication in our<a href=""https://www.theguardian.com/tone/letters""> letters</a> section, please <a href=""mailto:guardian.letters@theguardian.com?body=Please%20include%20your%20name,%20full%20postal%20address%20and%20phone%20number%20with%20your%20letter%20below.%20Letters%20are%20usually%20published%20with%20the%20author%27s%20name%20and%20city/town/village.%20The%20rest%20of%20the%20information%20is%20for%20verification%20only%20and%20to%20contact%20you%20where%20necessary."">click here</a>.</strong></em></p> <a href=""https://www.theguardian.com/commentisfree/2023/nov/16/letter-rishi-sunak-suella-braverman"">Continue reading...</a>","Thu, 16 Nov 2023 08:00:09 GMT",https://www.theguardian.com/commentisfree/2023/nov/16/letter-rishi-sunak-suella-braverman
14,The government has lost control of the cost of living crisis – here's how businesses must step in | Gordon Brown,"<p>To fight the ravages of poverty this winter, we urgently need a new social contract between companies and charities</p><p>A few weeks ago, a father walked into a charity warehouse, dumped his distraught 16-year-old son and walked away for good, saying he could no longer afford to keep him.</p><p>The distress of that teenager cannot be dismissed as an isolated incident: the Lancet, the medical journal, has reported that poverty, as distinct from neglect, parental addictions or domestic violence, is now a <a href=""https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(22)00065-2/fulltext"">principal cause</a> of children being forced into care. Indeed, in a survey of low-income families in Fife, <a href=""https://www.scottishhousingnews.com/articles/charity-spotlight-big-hoose-project-keeping-fife-children-out-of-care"">11% of parents</a> reported that without essential goods provided by local charities, their children might already be in care. By 2025, according to the <a href=""https://www.countycouncilsnetwork.org.uk/local-authorities-warn-that-councils-and-young-people-cannot-afford-to-keep-waiting-for-childrens-services-reform/"">County Councils Network</a>, there could be as many as 100,000 in care in England alone.</p><p>Gordon Brown was UK prime minister from 2007 to 2010</p> <a href=""https://www.theguardian.com/commentisfree/2023/nov/16/cost-of-living-crisis-businesses-poverty-winter-companies-charities-gordon-brown"">Continue reading...</a>","Thu, 16 Nov 2023 06:00:08 GMT",https://www.theguardian.com/commentisfree/2023/nov/16/cost-of-living-crisis-businesses-poverty-winter-companies-charities-gordon-brown
15,Brave Labour MPs have voted with their conscience. Where is Keir Starmer's? | Owen Jones,"<p>In backing a ceasefire in Gaza, scores of politicians have shown the courage and heart that their leader is lacking </p><p>This was a crucial moment in Labour’s history. With <a href=""https://www.theguardian.com/commentisfree/2023/nov/13/the-guardian-view-on-gazas-casualties-mounting-calls-for-a-ceasefire-must-be-heeded#:~:text=More%20than%2011%2C000%20are%20dead,employees%20are%20among%20the%20dead."">one in every 200 </a>Palestinians in Gaza now estimated to have been killed in this five-week military onslaught, a significant chunk of Labour’s parliamentary party have been privately agonising. And tonight, that agonising became a very concrete problem for Keir Starmer: <a href=""https://www.theguardian.com/politics/2023/nov/15/commons-gaza-vote-labour-defy-starmer-ceasefire-israel"">56 of his MPs</a> defied the whip in order to back an SNP amendment calling for a ceasefire. That included eight frontbenchers, who have either resigned or been sacked.</p><p>Why did they do it? They know that the UN secretary general, António Guterres, has condemned the “collective punishment” of the Palestinian people, that a Palestinian child is being killed <a href=""https://www.theguardian.com/world/live/2023/nov/10/israel-hamas-war-live-updates-benjamin-netanyahu-gaza-fighting-pauses-un-palestine"">every 10 minutes</a>, that entire generations of families have been wiped out. Like anyone seriously engaging with the past weeks’ events, they know Israel’s government is hardly being subtle: that this weekend, a minister <a href=""https://www.nbcnews.com/news/world/gaza-nakba-israels-far-right-palestinian-fears-hamas-war-rcna123909"">claimed Israel</a> was instituting a new Nakba, the expulsion of 700,000 Palestinians in 1948; that the defence minister justified a total siege on the grounds Israel was fighting <a href=""https://www.theguardian.com/world/2023/oct/09/israel-declares-siege-on-gaza-as-hamas-claims-israeli-strikes-killed-captives"">“human animals</a>”.</p><p>Owen Jones is a Guardian columnist</p><p><em><strong>Do you have an opinion on the issues raised in this article? If you would like to submit a response of up to 300 words by email to be considered for publication in our<a href=""https://www.theguardian.com/tone/letters""> letters</a> section, please <a href=""mailto:guardian.letters@theguardian.com?body=Please%20include%20your%20name,%20full%20postal%20address%20and%20phone%20number%20with%20your%20letter%20below.%20Letters%20are%20usually%20published%20with%20the%20author%27s%20name%20and%20city/town/village.%20The%20rest%20of%20the%20information%20is%20for%20verification%20only%20and%20to%20contact%20you%20where%20necessary."">click here</a>.</strong></em></p><p><br></p> <a href=""https://www.theguardian.com/commentisfree/2023/nov/15/brave-labour-mps-have-voted-with-their-conscience-where-is-keir-starmers"">Continue reading...</a>","Wed, 15 Nov 2023 23:23:26 GMT",https://www.theguardian.com/commentisfree/2023/nov/15/brave-labour-mps-have-voted-with-their-conscience-where-is-keir-starmers
16,"Desperate, delusional, defeated: the Tory right are coming for Rish! after Rwanda | John Crace","<p>There was no wriggle room in the judgment. No ifs or buts. What little remained of the PM’s  credibility was gone</p><p>Call it the massacre of the not-so-innocents. A drive-by shooting that left almost everyone in government a casualty. Many had thought the supreme court would uphold Rishi Sunak’s appeal on his flagship Rwanda policy. The one thing he thought he might have something to boast about. Or at the very least that the court might deliver a nuanced verdict. One that left the government some room for manoeuvre.</p><p>Lord Reed, the top judge on the five-strong panel, had other ideas. He just about contained a smile. It’s such a perfect day. He was glad he spent it with you. There were no ifs, no buts. The <a href=""https://www.theguardian.com/law/video/2023/nov/15/supreme-court-sunak-plan-deport-asylum-seekers-rwanda-unlawful-video"">Rwanda plan was a non-starter</a>. Rwanda having a track record of killing refugees had made the court think there was something iffy about the UK deporting its refugees to Rwanda. Funny that. Nor should the UK think it could get round the judgment by leaving the European convention on human rights. The UK was already bound by other legal obligations.</p> <a href=""https://www.theguardian.com/politics/2023/nov/15/desperate-delusional-defeated-the-tory-right-are-coming-for-rish-after-rwanda"">Continue reading...</a>","Wed, 15 Nov 2023 19:14:35 GMT",https://www.theguardian.com/politics/2023/nov/15/desperate-delusional-defeated-the-tory-right-are-coming-for-rish-after-rwanda
17,The Guardian view on Rishi Sunak’s asylum policy: empty slogans are no substitute for good government | Editorial,"<p>The supreme court has sunk the prime minister’s flagship policy and he is squandering a valuable opportunity to change course</p><p>It is not too late for the government to align UK immigration policy with the principles of international law. It is probably too late for Rishi Sunak to derive any political benefit from a change of direction now that the supreme court has rendered his existing scheme inoperable. He must still make that change in defiance of demands from Conservative MPs to push on faster down the wrong path.</p><p>The <a href=""https://www.theguardian.com/uk-news/2023/nov/15/supreme-court-rejects-rishi-sunak-plan-to-deport-asylum-seekers-to-rwanda"" title="""">court’s ruling</a> is unambiguous on the point of law that prevents implementation of the government’s proposed scheme for processing asylum claims in Rwanda. Refugees deported by that mechanism would not have sufficient guarantee against being returned to the places from which they had fled in fear of persecution, torture or death. That protection – the principle of non-refoulement – is a foundational tenet of human rights law and the refugee conventions to which the UK is bound.</p><p><em><strong>Do you have an opinion on the issues raised in this article? If you would like to submit a response of up to 300 words by email to be considered for publication in our<a href=""https://www.theguardian.com/tone/letters""> letters</a> section, please <a href=""mailto:guardian.letters@theguardian.com?body=Please%20include%20your%20name,%20full%20postal%20address%20and%20phone%20number%20with%20your%20letter%20below.%20Letters%20are%20usually%20published%20with%20the%20author%27s%20name%20and%20city/town/village.%20The%20rest%20of%20the%20information%20is%20for%20verification%20only%20and%20to%20contact%20you%20where%20necessary."">click here</a>.</strong></em></p> <a href=""https://www.theguardian.com/commentisfree/2023/nov/15/the-guardian-view-on-rishi-sunaks-asylum-policy-empty-slogans-are-no-substitute-for-good-government"">Continue reading...</a>","Wed, 15 Nov 2023 19:00:31 GMT",https://www.theguardian.com/commentisfree/2023/nov/15/the-guardian-view-on-rishi-sunaks-asylum-policy-empty-slogans-are-no-substitute-for-good-government
18,Ben Jennings on Suella Braverman’s Rwanda plan – cartoon,"<a href=""https://www.theguardian.com/commentisfree/picture/2023/nov/15/ben-jennings-on-suella-bravermans-rwanda-plan-cartoon"">Continue reading...</a>","Wed, 15 Nov 2023 17:19:07 GMT",https://www.theguardian.com/commentisfree/picture/2023/nov/15/ben-jennings-on-suella-bravermans-rwanda-plan-cartoon
19,"The Rwanda plan is dead in the real world, but will live on in the fantasyland of Tory politics | Martin Kettle","<p>The supreme court judgment was clear. But that won’t stop the party’s nationalist wing believing they can still succeed</p><p>Ever since Brenda Hale stepped down as president of the supreme court in 2020, it has not been difficult to find lawyers who worried that her more judicially conservative successor, Robert Reed, would be anxious to avoid standing up to the UK government in the way that the Hale court did so dramatically over the prorogation of parliament in 2019.</p><p>Those fears now look to have been seriously misjudged, after the Reed court today <a href=""https://www.theguardian.com/uk-news/2023/nov/15/supreme-court-rejects-rishi-sunak-plan-to-deport-asylum-seekers-to-rwanda"">unanimously dismissed</a> the government’s policy of transferring asylum seekers to Rwanda. Lord Reed is a different kind of judicial thinker from Lady Hale. He can certainly argue that the judgment was impeccably conservative in legal terms. But the ruling is in many ways a more consequential and devastating rebuff to UK government and UK politics than even <a href=""https://www.theguardian.com/law/2019/sep/24/boris-johnsons-suspension-of-parliament-unlawful-supreme-court-rules-prorogue"">the Hale judgment</a>.</p> <a href=""https://www.theguardian.com/commentisfree/2023/nov/15/rwanda-plan-dead-real-world-live-on-fantasyland-tory-politics"">Continue reading...</a>","Wed, 15 Nov 2023 16:54:07 GMT",https://www.theguardian.com/commentisfree/2023/nov/15/rwanda-plan-dead-real-world-live-on-fantasyland-tory-politics
20,"In the defeat of the Rwanda plan, the entire Tory project lies in tatters | Daniel Trilling","<p>Not just morally objectionable but stupid, the scheme is representative of years of Conservative rule</p><p>The supreme court’s <a href=""https://www.theguardian.com/law/video/2023/nov/15/supreme-court-sunak-plan-deport-asylum-seekers-rwanda-unlawful-video"">unanimous decision</a> to rule the Rwanda asylum deal unlawful is humiliating for the government. Not only for its immigration policy, but for the whole Conservative project from Boris Johnson to Rishi Sunak, which has combined contempt for human rights with breathtaking incompetence. The policy is not just morally objectionable but stupid.</p><p>The issue before the court today was, at heart, a simple one. Does the UK have the right to place refugees – people who have fled war, persecution, torture or worse – at risk of being sent back to the countries they fled? The judges were clear: no, it does not. Contrary to what you might read in the rightwing press, this isn’t only because of the European convention on human rights or its UK counterpart, the Human Rights Act. The judges stressed that a whole set of international treaties, including the UN Refugee Convention, as well as multiple UK laws on asylum and immigration, prohibit the practice, which is known officially as <a href=""https://www.collinsdictionary.com/dictionary/english/refoulement"">refoulement</a> (the act of forcing a refugee to return to a place from which he or she is seeking asylum).</p> <a href=""https://www.theguardian.com/commentisfree/2023/nov/15/rwanda-plan-tatters-defeat-undermines-entire-tory-project"">Continue reading...</a>","Wed, 15 Nov 2023 14:43:36 GMT",https://www.theguardian.com/commentisfree/2023/nov/15/rwanda-plan-tatters-defeat-undermines-entire-tory-project
